"Marker","Marker Numbers","Marker Letters"
"AHTk211",67,"A"
"AHTk211",69,"B"
"AHTk211",71,"C"
"AHTk211",73,"D"
"AHTk211",75,"E"
"AHTk211",77,"F"
"AHTk211",79,"G"
"AHTk211",81,"H"
"AHTk211",83,"I"
"AHTk211",85,"J"
"AHTk211",87,"K"
"AHTk211",89,"L"
"AHTk211",91,"M"
"AHTk211",93,"N"
"AHTk211",95,"O"
"AHTk211",97,"P"
"AHTk211",99,"Q"
"AHTk211",101,"R"
"AHTk211",103,"S"
"AHTk211",105,"T"
"AHTk211",107,"U"
"AHTk211",109,"V"
"AHTk211",111,"W"
"AHTk211",113,"X"
"AHTk211",115,"Y"
"AHTk211",117,"Z"
"CXX279",98,"A"
"CXX279",100,"B"
"CXX279",102,"C"
"CXX279",104,"D"
"CXX279",106,"E"
"CXX279",108,"F"
"CXX279",110,"G"
"CXX279",112,"H"
"CXX279",114,"I"
"CXX279",116,"J"
"CXX279",118,"K"
"CXX279",120,"L"
"CXX279",122,"M"
"CXX279",124,"N"
"CXX279",126,"O"
"CXX279",128,"P"
"CXX279",130,"Q"
"CXX279",132,"R"
"CXX279",134,"S"
"CXX279",136,"T"
"CXX279",138,"U"
"CXX279",140,"V"
"CXX279",142,"W"
"CXX279",144,"X"
"CXX279",146,"Y"
"CXX279",148,"Z"
"REN169O18",142,"A"
"REN169O18",144,"B"
"REN169O18",146,"C"
"REN169O18",148,"D"
"REN169O18",150,"E"
"REN169O18",152,"F"
"REN169O18",154,"G"
"REN169O18",156,"H"
"REN169O18",158,"I"
"REN169O18",160,"J"
"REN169O18",162,"K"
"REN169O18",164,"L"
"REN169O18",166,"M"
"REN169O18",168,"N"
"REN169O18",170,"O"
"REN169O18",172,"P"
"REN169O18",174,"Q"
"REN169O18",176,"R"
"REN169O18",178,"S"
"REN169O18",180,"T"
"REN169O18",182,"U"
"REN169O18",184,"V"
"REN169O18",186,"W"
"REN169O18",188,"X"
"REN169O18",190,"Y"
"REN169O18",192,"Z"
"INU055",194,"A"
"INU055",196,"B"
"INU055",198,"C"
"INU055",200,"D"
"INU055",202,"E"
"INU055",204,"F"
"INU055",206,"G"
"INU055",208,"H"
"INU055",210,"I"
"INU055",212,"J"
"INU055",214,"K"
"INU055",216,"L"
"INU055",218,"M"
"INU055",220,"N"
"INU055",222,"O"
"INU055",224,"P"
"INU055",226,"Q"
"INU055",228,"R"
"INU055",230,"S"
"INU055",232,"T"
"INU055",234,"U"
"INU055",236,"V"
"INU055",238,"W"
"INU055",240,"X"
"INU055",242,"Y"
"INU055",244,"Z"
"REN54P11",212,"A"
"REN54P11",214,"B"
"REN54P11",216,"C"
"REN54P11",218,"D"
"REN54P11",220,"E"
"REN54P11",222,"F"
"REN54P11",224,"G"
"REN54P11",226,"H"
"REN54P11",228,"I"
"REN54P11",230,"J"
"REN54P11",232,"K"
"REN54P11",234,"L"
"REN54P11",236,"M"
"REN54P11",238,"N"
"REN54P11",240,"O"
"REN54P11",242,"P"
"REN54P11",244,"Q"
"REN54P11",246,"R"
"REN54P11",248,"S"
"REN54P11",250,"T"
"REN54P11",252,"U"
"REN54P11",254,"V"
"REN54P11",256,"W"
"REN54P11",258,"X"
"REN54P11",260,"Y"
"REN54P11",262,"Z"
"AHT137",117,"A"
"AHT137",119,"B"
"AHT137",121,"C"
"AHT137",123,"D"
"AHT137",125,"E"
"AHT137",127,"F"
"AHT137",129,"G"
"AHT137",131,"H"
"AHT137",133,"I"
"AHT137",135,"J"
"AHT137",137,"K"
"AHT137",139,"L"
"AHT137",141,"M"
"AHT137",143,"N"
"AHT137",145,"O"
"AHT137",147,"P"
"AHT137",149,"Q"
"AHT137",151,"R"
"AHT137",153,"S"
"AHT137",155,"T"
"AHT137",157,"U"
"AHT137",159,"V"
"AHT137",161,"W"
"AHT137",163,"X"
"AHT137",165,"Y"
"AHT137",167,"Z"
"INRA21",73,"A"
"INRA21",75,"B"
"INRA21",77,"C"
"INRA21",79,"D"
"INRA21",81,"E"
"INRA21",83,"F"
"INRA21",85,"G"
"INRA21",87,"H"
"INRA21",89,"I"
"INRA21",91,"J"
"INRA21",93,"K"
"INRA21",95,"L"
"INRA21",97,"M"
"INRA21",99,"N"
"INRA21",101,"O"
"INRA21",103,"P"
"INRA21",105,"Q"
"INRA21",107,"R"
"INRA21",109,"S"
"INRA21",111,"T"
"INRA21",113,"U"
"INRA21",115,"V"
"INRA21",117,"W"
"INRA21",119,"X"
"INRA21",121,"Y"
"INRA21",123,"Z"
"REN169D001",194,"A"
"REN169D001",196,"B"
"REN169D001",198,"C"
"REN169D001",200,"D"
"REN169D001",202,"E"
"REN169D001",204,"F"
"REN169D001",206,"G"
"REN169D001",208,"H"
"REN169D001",210,"I"
"REN169D001",212,"J"
"REN169D001",214,"K"
"REN169D001",216,"L"
"REN169D001",218,"M"
"REN169D001",220,"N"
"REN169D001",222,"O"
"REN169D001",224,"P"
"REN169D001",226,"Q"
"REN169D001",228,"R"
"REN169D001",230,"S"
"REN169D001",232,"T"
"REN169D001",234,"U"
"REN169D001",236,"V"
"REN169D001",238,"W"
"REN169D001",240,"X"
"REN169D001",242,"Y"
"REN169D001",244,"Z"
"AHTh260",220,"A"
"AHTh260",222,"B"
"AHTh260",224,"C"
"AHTh260",226,"D"
"AHTh260",228,"E"
"AHTh260",230,"F"
"AHTh260",232,"G"
"AHTh260",234,"H"
"AHTh260",236,"I"
"AHTh260",238,"J"
"AHTh260",240,"K"
"AHTh260",242,"L"
"AHTh260",244,"M"
"AHTh260",246,"N"
"AHTh260",248,"O"
"AHTh260",250,"P"
"AHTh260",252,"Q"
"AHTh260",254,"R"
"AHTh260",256,"S"
"AHTh260",258,"T"
"AHTh260",260,"U"
"AHTh260",262,"V"
"AHTh260",264,"W"
"AHTh260",266,"X"
"AHTh260",268,"Y"
"AHTh260",270,"Z"
"AHTk253",260,"A"
"AHTk253",262,"B"
"AHTk253",264,"C"
"AHTk253",266,"D"
"AHTk253",268,"E"
"AHTk253",270,"F"
"AHTk253",272,"G"
"AHTk253",274,"H"
"AHTk253",276,"I"
"AHTk253",278,"J"
"AHTk253",280,"K"
"AHTk253",282,"L"
"AHTk253",284,"M"
"AHTk253",286,"N"
"AHTk253",288,"O"
"AHTk253",290,"P"
"AHTk253",292,"Q"
"AHTk253",294,"R"
"AHTk253",296,"S"
"AHTk253",298,"T"
"AHTk253",300,"U"
"AHTk253",302,"V"
"AHTk253",304,"W"
"AHTk253",306,"X"
"AHTk253",308,"Y"
"AHTk253",310,"Z"
"INU005",94,"A"
"INU005",96,"B"
"INU005",98,"C"
"INU005",100,"D"
"INU005",102,"E"
"INU005",104,"F"
"INU005",106,"G"
"INU005",108,"H"
"INU005",110,"I"
"INU005",112,"J"
"INU005",114,"K"
"INU005",116,"L"
"INU005",118,"M"
"INU005",120,"N"
"INU005",122,"O"
"INU005",124,"P"
"INU005",126,"Q"
"INU005",128,"R"
"INU005",130,"S"
"INU005",132,"T"
"INU005",134,"U"
"INU005",136,"V"
"INU005",138,"W"
"INU005",140,"X"
"INU005",142,"Y"
"INU005",144,"Z"
"INU030",122,"A"
"INU030",124,"B"
"INU030",126,"C"
"INU030",128,"D"
"INU030",130,"E"
"INU030",132,"F"
"INU030",134,"G"
"INU030",136,"H"
"INU030",138,"I"
"INU030",140,"J"
"INU030",142,"K"
"INU030",144,"L"
"INU030",146,"M"
"INU030",148,"N"
"INU030",150,"O"
"INU030",152,"P"
"INU030",154,"Q"
"INU030",156,"R"
"INU030",158,"S"
"INU030",160,"T"
"INU030",162,"U"
"INU030",164,"V"
"INU030",166,"W"
"INU030",168,"X"
"INU030",170,"Y"
"INU030",172,"Z"
"AMELOGENIN","X","X"
"AMELOGENIN","Y","Y"
"FH2848",208,"A"
"FH2848",210,"B"
"FH2848",212,"C"
"FH2848",214,"D"
"FH2848",216,"E"
"FH2848",218,"F"
"FH2848",220,"G"
"FH2848",222,"H"
"FH2848",224,"I"
"FH2848",226,"J"
"FH2848",228,"K"
"FH2848",230,"L"
"FH2848",232,"M"
"FH2848",234,"N"
"FH2848",236,"O"
"FH2848",238,"P"
"FH2848",240,"Q"
"FH2848",242,"R"
"FH2848",244,"S"
"FH2848",246,"T"
"FH2848",248,"U"
"FH2848",250,"V"
"FH2848",252,"W"
"FH2848",254,"X"
"FH2848",256,"Y"
"FH2848",258,"Z"
"AHT121",74,"A"
"AHT121",76,"B"
"AHT121",78,"C"
"AHT121",80,"D"
"AHT121",82,"E"
"AHT121",84,"F"
"AHT121",86,"G"
"AHT121",88,"H"
"AHT121",90,"I"
"AHT121",92,"J"
"AHT121",94,"K"
"AHT121",96,"L"
"AHT121",98,"M"
"AHT121",100,"N"
"AHT121",102,"O"
"AHT121",104,"P"
"AHT121",106,"Q"
"AHT121",108,"R"
"AHT121",110,"S"
"AHT121",112,"T"
"AHT121",114,"U"
"AHT121",116,"V"
"AHT121",118,"W"
"AHT121",120,"X"
"AHT121",122,"Y"
"AHT121",124,"Z"
"FH2054",134,"A"
"FH2054",136,"B"
"FH2054",138,"C"
"FH2054",140,"D"
"FH2054",142,"E"
"FH2054",144,"F"
"FH2054",146,"G"
"FH2054",148,"H"
"FH2054",150,"I"
"FH2054",152,"J"
"FH2054",154,"K"
"FH2054",156,"L"
"FH2054",158,"M"
"FH2054",160,"N"
"FH2054",162,"O"
"FH2054",164,"P"
"FH2054",166,"Q"
"FH2054",168,"R"
"FH2054",170,"S"
"FH2054",172,"T"
"FH2054",174,"U"
"FH2054",176,"V"
"FH2054",178,"W"
"FH2054",180,"X"
"FH2054",182,"Y"
"FH2054",184,"Z"
"REN162C04",180,"A"
"REN162C04",182,"B"
"REN162C04",184,"C"
"REN162C04",186,"D"
"REN162C04",188,"E"
"REN162C04",190,"F"
"REN162C04",192,"G"
"REN162C04",194,"H"
"REN162C04",196,"I"
"REN162C04",198,"J"
"REN162C04",200,"K"
"REN162C04",202,"L"
"REN162C04",204,"M"
"REN162C04",206,"N"
"REN162C04",208,"O"
"REN162C04",210,"P"
"REN162C04",212,"Q"
"REN162C04",214,"R"
"REN162C04",216,"S"
"REN162C04",218,"T"
"REN162C04",220,"U"
"REN162C04",222,"V"
"REN162C04",224,"W"
"REN162C04",226,"X"
"REN162C04",228,"Y"
"REN162C04",230,"Z"
"AHTh171",201,"A"
"AHTh171",203,"B"
"AHTh171",205,"C"
"AHTh171",207,"D"
"AHTh171",209,"E"
"AHTh171",211,"F"
"AHTh171",213,"G"
"AHTh171",215,"H"
"AHTh171",217,"I"
"AHTh171",219,"J"
"AHTh171",221,"K"
"AHTh171",223,"L"
"AHTh171",225,"M"
"AHTh171",227,"N"
"AHTh171",229,"O"
"AHTh171",231,"P"
"AHTh171",233,"Q"
"AHTh171",235,"R"
"AHTh171",237,"S"
"AHTh171",239,"T"
"AHTh171",241,"U"
"AHTh171",243,"V"
"AHTh171",245,"W"
"AHTh171",247,"X"
"AHTh171",249,"Y"
"AHTh171",251,"Z"
"REN247M23",248,"A"
"REN247M23",250,"B"
"REN247M23",252,"C"
"REN247M23",254,"D"
"REN247M23",256,"E"
"REN247M23",258,"F"
"REN247M23",260,"G"
"REN247M23",262,"H"
"REN247M23",264,"I"
"REN247M23",266,"J"
"REN247M23",268,"K"
"REN247M23",270,"L"
"REN247M23",272,"M"
"REN247M23",274,"N"
"REN247M23",276,"O"
"REN247M23",278,"P"
"REN247M23",280,"Q"
"REN247M23",282,"R"
"REN247M23",284,"S"
"REN247M23",286,"T"
"REN247M23",288,"U"
"REN247M23",290,"V"
"REN247M23",292,"W"
"REN247M23",294,"X"
"REN247M23",296,"Y"
"REN247M23",298,"Z"
